Title:,Trace 1,
Model:,N9320B,
Serial Number:,CN03228330,
Center Frequency:,25000000,Hz
Span:,50000000,Hz
Resolution Bandwidth:,300,Hz
Video Bandwidth:,300,Hz
Reference Level:,-10,dBm
Sweep Time:,174.944818,s
Num Points:,461,
 ,,
No.,Frequency,Amplitude
1,0.000000Hz,-5.402084351e+00dBm
2,108695.652174Hz,-7.445124817e+01dBm
3,217391.304348Hz,-7.769268036e+01dBm
4,326086.956522Hz,-6.787535858e+01dBm
5,434782.608696Hz,-8.708319092e+01dBm
6,543478.260870Hz,-8.796081543e+01dBm
7,652173.913043Hz,-7.873766327e+01dBm
8,760869.565217Hz,-8.148709106e+01dBm
9,869565.217391Hz,-7.333517456e+01dBm
10,978260.869565Hz,-1.286689377e+01dBm
11,1086956.521739Hz,-8.187378693e+01dBm
12,1195652.173913Hz,-8.389408112e+01dBm
13,1304347.826087Hz,-7.710586548e+01dBm
14,1413043.478261Hz,-9.032259369e+01dBm
15,1521739.130435Hz,-9.306761932e+01dBm
16,1630434.782609Hz,-6.801153564e+01dBm
17,1739130.434783Hz,-9.667084503e+01dBm
18,1847826.086957Hz,-9.607901001e+01dBm
19,1956521.739130Hz,-3.915399170e+01dBm
20,2065217.391304Hz,-9.737168121e+01dBm
21,2173913.043478Hz,-9.653859711e+01dBm
22,2282608.695652Hz,-6.836754608e+01dBm
23,2391304.347826Hz,-9.763735962e+01dBm
24,2500000.000000Hz,-9.644863892e+01dBm
25,2608695.652174Hz,-7.947572327e+01dBm
26,2717391.304348Hz,-9.166822052e+01dBm
27,2826086.956522Hz,-9.099285889e+01dBm
28,2934782.608696Hz,-2.265067673e+01dBm
29,3043478.260870Hz,-8.652727509e+01dBm
30,3152173.913043Hz,-8.967181396e+01dBm
31,3260869.565217Hz,-7.609691620e+01dBm
32,3369565.217391Hz,-9.686816406e+01dBm
33,3478260.869565Hz,-9.737939453e+01dBm
34,3586956.521739Hz,-6.795814514e+01dBm
35,3695652.173913Hz,-9.663973236e+01dBm
36,3804347.826087Hz,-9.785489655e+01dBm
37,3913043.478261Hz,-3.928568649e+01dBm
38,4021739.130435Hz,-9.848096466e+01dBm
39,4130434.782609Hz,-9.745043182e+01dBm
40,4239130.434783Hz,-6.866312408e+01dBm
41,4347826.086957Hz,-9.815166473e+01dBm
42,4456521.739130Hz,-9.788401031e+01dBm
43,4565217.391304Hz,-7.939822388e+01dBm
44,4673913.043478Hz,-9.633145142e+01dBm
45,4782608.695652Hz,-9.519174194e+01dBm
46,4891304.347826Hz,-2.830532074e+01dBm
47,5000000.000000Hz,-2.742039871e+01dBm
48,5108695.652174Hz,-9.372577667e+01dBm
49,5217391.304348Hz,-9.521377563e+01dBm
50,5326086.956522Hz,-7.463471985e+01dBm
51,5434782.608696Hz,-9.919197845e+01dBm
52,5543478.260870Hz,-9.740515900e+01dBm
53,5652173.913043Hz,-6.821994781e+01dBm
54,5760869.565217Hz,-9.649565887e+01dBm
55,5869565.217391Hz,-9.843504333e+01dBm
56,5978260.869565Hz,-3.950597000e+01dBm
57,6086956.521739Hz,-9.853756714e+01dBm
58,6195652.173913Hz,-9.864674377e+01dBm
59,6304347.826087Hz,-6.919797516e+01dBm
60,6413043.478261Hz,-9.720824432e+01dBm
61,6521739.130435Hz,-9.861902618e+01dBm
62,6630434.782609Hz,-7.811860657e+01dBm
63,6739130.434783Hz,-9.728408813e+01dBm
64,6847826.086957Hz,-9.665049744e+01dBm
65,6956521.739130Hz,-3.079539490e+01dBm
66,7065217.391304Hz,-9.613523865e+01dBm
67,7173913.043478Hz,-9.636945343e+01dBm
68,7282608.695652Hz,-7.381935883e+01dBm
69,7391304.347826Hz,-9.771429443e+01dBm
70,7500000.000000Hz,-9.778153229e+01dBm
71,7608695.652174Hz,-6.861838531e+01dBm
72,7717391.304348Hz,-9.809689331e+01dBm
73,7826086.956522Hz,-9.886444855e+01dBm
74,7934782.608696Hz,-3.988182831e+01dBm
75,8043478.260870Hz,-9.839846802e+01dBm
76,8152173.913043Hz,-9.727915955e+01dBm
77,8260869.565217Hz,-6.995950317e+01dBm
78,8369565.217391Hz,-9.993826294e+01dBm
79,8478260.869565Hz,-9.893493652e+01dBm
80,8586956.521739Hz,-7.716297150e+01dBm
81,8695652.173913Hz,-9.779631805e+01dBm
82,8804347.826087Hz,-9.834579468e+01dBm
83,8913043.478261Hz,-3.363527679e+01dBm
84,9021739.130435Hz,-9.480348969e+01dBm
85,9130434.782609Hz,-9.713333893e+01dBm
86,9239130.434783Hz,-7.291684723e+01dBm
87,9347826.086957Hz,-9.833371735e+01dBm
88,9456521.739130Hz,-9.809642792e+01dBm
89,9565217.391304Hz,-6.907147217e+01dBm
90,9673913.043478Hz,-9.963215637e+01dBm
91,9782608.695652Hz,-9.768032837e+01dBm
92,9891304.347826Hz,-4.334605408e+01dBm
93,10000000.000000Hz,-4.031577682e+01dBm
94,10108695.652174Hz,-9.811146545e+01dBm
95,10217391.304348Hz,-9.895900726e+01dBm
96,10326086.956522Hz,-7.088401794e+01dBm
97,10434782.608696Hz,-9.693000031e+01dBm
98,10543478.260870Hz,-9.845623779e+01dBm
99,10652173.913043Hz,-7.605919647e+01dBm
100,10760869.565217Hz,-9.794827271e+01dBm
101,10869565.217391Hz,-9.576155090e+01dBm
102,10978260.869565Hz,-3.625211334e+01dBm
103,11086956.521739Hz,-9.703450012e+01dBm
104,11195652.173913Hz,-9.617668915e+01dBm
105,11304347.826087Hz,-7.239509583e+01dBm
106,11413043.478261Hz,-9.958672333e+01dBm
107,11521739.130435Hz,-9.781174469e+01dBm
108,11630434.782609Hz,-6.976898956e+01dBm
109,11739130.434783Hz,-9.699376678e+01dBm
110,11847826.086957Hz,-9.762352753e+01dBm
111,11956521.739130Hz,-4.089929199e+01dBm
112,12065217.391304Hz,-9.807637787e+01dBm
113,12173913.043478Hz,-9.792183685e+01dBm
114,12282608.695652Hz,-7.196917725e+01dBm
115,12391304.347826Hz,-9.737857056e+01dBm
116,12500000.000000Hz,-9.682134247e+01dBm
117,12608695.652174Hz,-7.487843323e+01dBm
118,12717391.304348Hz,-9.868404388e+01dBm
119,12826086.956522Hz,-9.783122253e+01dBm
120,12934782.608696Hz,-3.878470230e+01dBm
121,13043478.260870Hz,-9.782743835e+01dBm
122,13152173.913043Hz,-9.843842316e+01dBm
123,13260869.565217Hz,-7.215224457e+01dBm
124,13369565.217391Hz,-9.644694519e+01dBm
125,13478260.869565Hz,-9.760121918e+01dBm
126,13586956.521739Hz,-7.076196289e+01dBm
127,13695652.173913Hz,-9.738529205e+01dBm
128,13804347.826087Hz,-9.962850952e+01dBm
129,13913043.478261Hz,-4.168330765e+01dBm
130,14021739.130435Hz,-9.736698914e+01dBm
131,14130434.782609Hz,-9.871222687e+01dBm
132,14239130.434783Hz,-7.337157440e+01dBm
133,14347826.086957Hz,-9.897706604e+01dBm
134,14456521.739130Hz,-9.760100555e+01dBm
135,14565217.391304Hz,-7.446006012e+01dBm
136,14673913.043478Hz,-9.811296082e+01dBm
137,14782608.695652Hz,-9.800322723e+01dBm
138,14891304.347826Hz,-4.785026550e+01dBm
139,15000000.000000Hz,-4.142457581e+01dBm
140,15108695.652174Hz,-9.734055328e+01dBm
141,15217391.304348Hz,-9.672599030e+01dBm
142,15326086.956522Hz,-7.219206238e+01dBm
143,15434782.608696Hz,-9.870649719e+01dBm
144,15543478.260870Hz,-9.785320282e+01dBm
145,15652173.913043Hz,-7.211702728e+01dBm
146,15760869.565217Hz,-9.926290131e+01dBm
147,15869565.217391Hz,-9.818913269e+01dBm
148,15978260.869565Hz,-4.261790466e+01dBm
149,16086956.521739Hz,-9.860941315e+01dBm
150,16195652.173913Hz,-9.920261383e+01dBm
151,16304347.826087Hz,-7.524081421e+01dBm
152,16413043.478261Hz,-9.853722382e+01dBm
153,16521739.130435Hz,-9.833020020e+01dBm
154,16630434.782609Hz,-7.429945374e+01dBm
155,16739130.434783Hz,-9.863047791e+01dBm
156,16847826.086957Hz,-9.821681976e+01dBm
157,16956521.739130Hz,-4.421361923e+01dBm
158,17065217.391304Hz,-9.816378784e+01dBm
159,17173913.043478Hz,-9.788068390e+01dBm
160,17282608.695652Hz,-7.241735077e+01dBm
161,17391304.347826Hz,-9.735945129e+01dBm
162,17500000.000000Hz,-9.833927917e+01dBm
163,17608695.652174Hz,-7.353555298e+01dBm
164,17717391.304348Hz,-9.887222290e+01dBm
165,17826086.956522Hz,-9.745812988e+01dBm
166,17934782.608696Hz,-4.380198288e+01dBm
167,18043478.260870Hz,-9.756203461e+01dBm
168,18152173.913043Hz,-9.759342194e+01dBm
169,18260869.565217Hz,-7.763309479e+01dBm
170,18369565.217391Hz,-9.849429321e+01dBm
171,18478260.869565Hz,-9.740690613e+01dBm
172,18586956.521739Hz,-7.436296082e+01dBm
173,18695652.173913Hz,-9.897188568e+01dBm
174,18804347.826087Hz,-9.818032837e+01dBm
175,18913043.478261Hz,-4.724667740e+01dBm
176,19021739.130435Hz,-9.824104309e+01dBm
177,19130434.782609Hz,-9.919053650e+01dBm
178,19239130.434783Hz,-7.315434265e+01dBm
179,19347826.086957Hz,-9.781472778e+01dBm
180,19456521.739130Hz,-9.795874786e+01dBm
181,19565217.391304Hz,-7.555193329e+01dBm
182,19673913.043478Hz,-9.791360474e+01dBm
183,19782608.695652Hz,-1.002907104e+02dBm
184,19891304.347826Hz,-5.614183044e+01dBm
185,20000000.000000Hz,-4.516783142e+01dBm
186,20108695.652174Hz,-9.936837769e+01dBm
187,20217391.304348Hz,-9.866884613e+01dBm
188,20326086.956522Hz,-7.963442230e+01dBm
189,20434782.608696Hz,-9.790390778e+01dBm
190,20543478.260870Hz,-9.864999390e+01dBm
191,20652173.913043Hz,-7.456426239e+01dBm
192,20760869.565217Hz,-9.894293976e+01dBm
193,20869565.217391Hz,-9.748027802e+01dBm
194,20978260.869565Hz,-5.064131546e+01dBm
195,21086956.521739Hz,-9.853509521e+01dBm
196,21195652.173913Hz,-9.777993011e+01dBm
197,21304347.826087Hz,-7.388770294e+01dBm
198,21413043.478261Hz,-9.765608978e+01dBm
199,21521739.130435Hz,-9.842581177e+01dBm
200,21630434.782609Hz,-7.749952698e+01dBm
201,21739130.434783Hz,-9.931858826e+01dBm
202,21847826.086957Hz,-9.925817108e+01dBm
203,21956521.739130Hz,-4.675978470e+01dBm
204,22065217.391304Hz,-9.757002258e+01dBm
205,22173913.043478Hz,-9.863195038e+01dBm
206,22282608.695652Hz,-8.253195953e+01dBm
207,22391304.347826Hz,-9.868310547e+01dBm
208,22500000.000000Hz,-9.971546936e+01dBm
209,22608695.652174Hz,-7.549902344e+01dBm
210,22717391.304348Hz,-9.886081696e+01dBm
211,22826086.956522Hz,-9.530774689e+01dBm
212,22934782.608696Hz,-5.439881134e+01dBm
213,23043478.260870Hz,-9.856297302e+01dBm
214,23152173.913043Hz,-9.883544159e+01dBm
215,23260869.565217Hz,-7.505431366e+01dBm
216,23369565.217391Hz,-9.904904938e+01dBm
217,23478260.869565Hz,-9.983313751e+01dBm
218,23586956.521739Hz,-7.975038910e+01dBm
219,23695652.173913Hz,-9.937306976e+01dBm
220,23804347.826087Hz,-9.864563751e+01dBm
221,23913043.478261Hz,-4.856791306e+01dBm
222,24021739.130435Hz,-9.882226563e+01dBm
223,24130434.782609Hz,-9.820432281e+01dBm
224,24239130.434783Hz,-8.567330170e+01dBm
225,24347826.086957Hz,-9.947509003e+01dBm
226,24456521.739130Hz,-9.875309753e+01dBm
227,24565217.391304Hz,-7.667757416e+01dBm
228,24673913.043478Hz,-9.798802948e+01dBm
229,24782608.695652Hz,-9.986608887e+01dBm
230,24891304.347826Hz,-7.576771545e+01dBm
231,25000000.000000Hz,-5.891406250e+01dBm
232,25108695.652174Hz,-9.869065094e+01dBm
233,25217391.304348Hz,-9.850149536e+01dBm
234,25326086.956522Hz,-7.653946686e+01dBm
235,25434782.608696Hz,-9.944346619e+01dBm
236,25543478.260870Hz,-9.814969635e+01dBm
237,25652173.913043Hz,-8.276463318e+01dBm
238,25760869.565217Hz,-9.935508728e+01dBm
239,25869565.217391Hz,-9.892823792e+01dBm
240,25978260.869565Hz,-5.049678040e+01dBm
241,26086956.521739Hz,-9.903015137e+01dBm
242,26195652.173913Hz,-9.783115387e+01dBm
243,26304347.826087Hz,-8.720675659e+01dBm
244,26413043.478261Hz,-9.919097900e+01dBm
245,26521739.130435Hz,-9.853784943e+01dBm
246,26630434.782609Hz,-7.780078125e+01dBm
247,26739130.434783Hz,-9.993135834e+01dBm
248,26847826.086957Hz,-9.888957214e+01dBm
249,26956521.739130Hz,-6.433628845e+01dBm
250,27065217.391304Hz,-1.000628891e+02dBm
251,27173913.043478Hz,-9.734524536e+01dBm
252,27282608.695652Hz,-7.804567719e+01dBm
253,27391304.347826Hz,-9.931905365e+01dBm
254,27500000.000000Hz,-9.987189484e+01dBm
255,27608695.652174Hz,-8.436367798e+01dBm
256,27717391.304348Hz,-9.919221497e+01dBm
257,27826086.956522Hz,-9.944907379e+01dBm
258,27934782.608696Hz,-5.263520050e+01dBm
259,28043478.260870Hz,-9.802423096e+01dBm
260,28152173.913043Hz,-9.865328979e+01dBm
261,28260869.565217Hz,-9.048477936e+01dBm
262,28369565.217391Hz,-9.927324677e+01dBm
263,28478260.869565Hz,-9.920642090e+01dBm
264,28586956.521739Hz,-7.944195557e+01dBm
265,28695652.173913Hz,-9.950314331e+01dBm
266,28804347.826087Hz,-9.878313446e+01dBm
267,28913043.478261Hz,-7.180372620e+01dBm
268,29021739.130435Hz,-9.751276398e+01dBm
269,29130434.782609Hz,-9.836470795e+01dBm
270,29239130.434783Hz,-7.997696686e+01dBm
271,29347826.086957Hz,-9.839690399e+01dBm
272,29456521.739130Hz,-9.836921692e+01dBm
273,29565217.391304Hz,-8.950771332e+01dBm
274,29673913.043478Hz,-9.769681549e+01dBm
275,29782608.695652Hz,-9.941906738e+01dBm
276,29891304.347826Hz,-7.913319397e+01dBm
277,30000000.000000Hz,-5.510105896e+01dBm
278,30108695.652174Hz,-9.954021454e+01dBm
279,30217391.304348Hz,-9.853290558e+01dBm
280,30326086.956522Hz,-9.202400970e+01dBm
281,30434782.608696Hz,-9.893614197e+01dBm
282,30543478.260870Hz,-9.983721924e+01dBm
283,30652173.913043Hz,-8.113079071e+01dBm
284,30760869.565217Hz,-9.946020508e+01dBm
285,30869565.217391Hz,-9.881288147e+01dBm
286,30978260.869565Hz,-8.809297943e+01dBm
287,31086956.521739Hz,-9.748978424e+01dBm
288,31195652.173913Hz,-9.917951202e+01dBm
289,31304347.826087Hz,-8.263237762e+01dBm
290,31413043.478261Hz,-9.844137573e+01dBm
291,31521739.130435Hz,-9.824944305e+01dBm
292,31630434.782609Hz,-9.202835083e+01dBm
293,31739130.434783Hz,-9.990009308e+01dBm
294,31847826.086957Hz,-9.970639038e+01dBm
295,31956521.739130Hz,-5.812206268e+01dBm
296,32065217.391304Hz,-9.934409332e+01dBm
297,32173913.043478Hz,-9.824343872e+01dBm
298,32282608.695652Hz,-9.229115295e+01dBm
299,32391304.347826Hz,-9.886489868e+01dBm
300,32500000.000000Hz,-9.936103821e+01dBm
301,32608695.652174Hz,-8.361408997e+01dBm
302,32717391.304348Hz,-9.906804657e+01dBm
303,32826086.956522Hz,-9.883737183e+01dBm
304,32934782.608696Hz,-8.146663666e+01dBm
305,33043478.260870Hz,-9.912667847e+01dBm
306,33152173.913043Hz,-9.848228455e+01dBm
307,33260869.565217Hz,-8.596070862e+01dBm
308,33369565.217391Hz,-9.967004395e+01dBm
309,33478260.869565Hz,-9.784612274e+01dBm
310,33586956.521739Hz,-9.627527618e+01dBm
311,33695652.173913Hz,-9.815026093e+01dBm
312,33804347.826087Hz,-9.885849762e+01dBm
313,33913043.478261Hz,-6.170167542e+01dBm
314,34021739.130435Hz,-9.866351318e+01dBm
315,34130434.782609Hz,-9.919113159e+01dBm
316,34239130.434783Hz,-9.337551880e+01dBm
317,34347826.086957Hz,-9.840166473e+01dBm
318,34456521.739130Hz,-9.810248566e+01dBm
319,34565217.391304Hz,-8.700755310e+01dBm
320,34673913.043478Hz,-9.863135529e+01dBm
321,34782608.695652Hz,-9.789315033e+01dBm
322,34891304.347826Hz,-9.800325012e+01dBm
323,35000000.000000Hz,-7.870096588e+01dBm
324,35108695.652174Hz,-9.716346741e+01dBm
325,35217391.304348Hz,-9.845136261e+01dBm
326,35326086.956522Hz,-8.847412872e+01dBm
327,35434782.608696Hz,-9.679520416e+01dBm
328,35543478.260870Hz,-9.952614594e+01dBm
329,35652173.913043Hz,-9.885044861e+01dBm
330,35760869.565217Hz,-9.867616272e+01dBm
331,35869565.217391Hz,-9.854569244e+01dBm
332,35978260.869565Hz,-6.582262421e+01dBm
333,36086956.521739Hz,-1.003484802e+02dBm
334,36195652.173913Hz,-9.956665802e+01dBm
335,36304347.826087Hz,-9.359745789e+01dBm
336,36413043.478261Hz,-1.002999496e+02dBm
337,36521739.130435Hz,-9.792032623e+01dBm
338,36630434.782609Hz,-9.116087341e+01dBm
339,36739130.434783Hz,-9.848286438e+01dBm
340,36847826.086957Hz,-9.963008118e+01dBm
341,36956521.739130Hz,-7.883814240e+01dBm
342,37065217.391304Hz,-9.771323395e+01dBm
343,37173913.043478Hz,-9.987039185e+01dBm
344,37282608.695652Hz,-9.401922607e+01dBm
345,37391304.347826Hz,-9.826034546e+01dBm
346,37500000.000000Hz,-9.938895416e+01dBm
347,37608695.652174Hz,-9.877282715e+01dBm
348,37717391.304348Hz,-9.638762665e+01dBm
349,37826086.956522Hz,-9.687765503e+01dBm
350,37934782.608696Hz,-7.041875458e+01dBm
351,38043478.260870Hz,-9.947692108e+01dBm
352,38152173.913043Hz,-9.689150238e+01dBm
353,38260869.565217Hz,-9.631749725e+01dBm
354,38369565.217391Hz,-9.897808838e+01dBm
355,38478260.869565Hz,-9.722772217e+01dBm
356,38586956.521739Hz,-9.218281555e+01dBm
357,38695652.173913Hz,-9.808562469e+01dBm
358,38804347.826087Hz,-9.871363068e+01dBm
359,38913043.478261Hz,-8.045534515e+01dBm
360,39021739.130435Hz,-9.923280334e+01dBm
361,39130434.782609Hz,-9.950718689e+01dBm
362,39239130.434783Hz,-9.963128662e+01dBm
363,39347826.086957Hz,-9.814170837e+01dBm
364,39456521.739130Hz,-9.886515045e+01dBm
365,39565217.391304Hz,-9.947206879e+01dBm
366,39673913.043478Hz,-9.947971344e+01dBm
367,39782608.695652Hz,-9.922225952e+01dBm
368,39891304.347826Hz,-9.758298492e+01dBm
369,40000000.000000Hz,-7.543940735e+01dBm
370,40108695.652174Hz,-9.646070862e+01dBm
371,40217391.304348Hz,-9.921423340e+01dBm
372,40326086.956522Hz,-9.830830383e+01dBm
373,40434782.608696Hz,-9.825737762e+01dBm
374,40543478.260870Hz,-9.876750946e+01dBm
375,40652173.913043Hz,-9.855819702e+01dBm
376,40760869.565217Hz,-9.942117310e+01dBm
377,40869565.217391Hz,-9.788018036e+01dBm
378,40978260.869565Hz,-8.376393890e+01dBm
379,41086956.521739Hz,-9.838481903e+01dBm
380,41195652.173913Hz,-9.816339874e+01dBm
381,41304347.826087Hz,-9.794093323e+01dBm
382,41413043.478261Hz,-9.895376587e+01dBm
383,41521739.130435Hz,-9.921526337e+01dBm
384,41630434.782609Hz,-9.947113037e+01dBm
385,41739130.434783Hz,-9.888192749e+01dBm
386,41847826.086957Hz,-9.804750824e+01dBm
387,41956521.739130Hz,-8.045500183e+01dBm
388,42065217.391304Hz,-9.908351135e+01dBm
389,42173913.043478Hz,-9.907986450e+01dBm
390,42282608.695652Hz,-9.834458923e+01dBm
391,42391304.347826Hz,-9.951885986e+01dBm
392,42500000.000000Hz,-9.809656525e+01dBm
393,42608695.652174Hz,-9.892599487e+01dBm
394,42717391.304348Hz,-1.001434250e+02dBm
395,42826086.956522Hz,-9.830755615e+01dBm
396,42934782.608696Hz,-8.715928650e+01dBm
397,43043478.260870Hz,-9.913782501e+01dBm
398,43152173.913043Hz,-9.810803986e+01dBm
399,43260869.565217Hz,-9.814212036e+01dBm
400,43369565.217391Hz,-9.963186646e+01dBm
401,43478260.869565Hz,-9.826264191e+01dBm
402,43586956.521739Hz,-9.848092651e+01dBm
403,43695652.173913Hz,-9.790090942e+01dBm
404,43804347.826087Hz,-9.845259094e+01dBm
405,43913043.478261Hz,-8.566166687e+01dBm
406,44021739.130435Hz,-9.852762604e+01dBm
407,44130434.782609Hz,-9.929929352e+01dBm
408,44239130.434783Hz,-9.750344849e+01dBm
409,44347826.086957Hz,-9.986803436e+01dBm
410,44456521.739130Hz,-9.976443481e+01dBm
411,44565217.391304Hz,-9.898886871e+01dBm
412,44673913.043478Hz,-9.961267090e+01dBm
413,44782608.695652Hz,-9.840386963e+01dBm
414,44891304.347826Hz,-9.794017792e+01dBm
415,45000000.000000Hz,-9.007926941e+01dBm
416,45108695.652174Hz,-9.962655640e+01dBm
417,45217391.304348Hz,-9.880193329e+01dBm
418,45326086.956522Hz,-9.693386078e+01dBm
419,45434782.608696Hz,-9.793894958e+01dBm
420,45543478.260870Hz,-9.926998901e+01dBm
421,45652173.913043Hz,-9.932364655e+01dBm
422,45760869.565217Hz,-1.000567780e+02dBm
423,45869565.217391Hz,-9.691921997e+01dBm
424,45978260.869565Hz,-9.115559387e+01dBm
425,46086956.521739Hz,-9.880605316e+01dBm
426,46195652.173913Hz,-9.834934998e+01dBm
427,46304347.826087Hz,-9.833516693e+01dBm
428,46413043.478261Hz,-9.842610168e+01dBm
429,46521739.130435Hz,-9.935929108e+01dBm
430,46630434.782609Hz,-9.887744904e+01dBm
431,46739130.434783Hz,-9.821131134e+01dBm
432,46847826.086957Hz,-9.703982544e+01dBm
433,46956521.739130Hz,-9.348972321e+01dBm
434,47065217.391304Hz,-9.875716400e+01dBm
435,47173913.043478Hz,-9.825436401e+01dBm
436,47282608.695652Hz,-9.990064240e+01dBm
437,47391304.347826Hz,-9.943951416e+01dBm
438,47500000.000000Hz,-9.868960571e+01dBm
439,47608695.652174Hz,-9.818556213e+01dBm
440,47717391.304348Hz,-9.940032959e+01dBm
441,47826086.956522Hz,-9.749539948e+01dBm
442,47934782.608696Hz,-8.922573853e+01dBm
443,48043478.260870Hz,-9.873798370e+01dBm
444,48152173.913043Hz,-9.877073669e+01dBm
445,48260869.565217Hz,-9.865358734e+01dBm
446,48369565.217391Hz,-9.895219421e+01dBm
447,48478260.869565Hz,-9.957110596e+01dBm
448,48586956.521739Hz,-9.705780792e+01dBm
449,48695652.173913Hz,-9.917916870e+01dBm
450,48804347.826087Hz,-9.874326324e+01dBm
451,48913043.478261Hz,-9.367520142e+01dBm
452,49021739.130435Hz,-9.569585419e+01dBm
453,49130434.782609Hz,-9.945938873e+01dBm
454,49239130.434783Hz,-9.807671356e+01dBm
455,49347826.086957Hz,-9.863183594e+01dBm
456,49456521.739130Hz,-9.931664276e+01dBm
457,49565217.391304Hz,-9.877026367e+01dBm
458,49673913.043478Hz,-9.940125275e+01dBm
459,49782608.695652Hz,-9.887484741e+01dBm
460,49891304.347826Hz,-9.954487610e+01dBm
461,50000000.000000Hz,-9.837833405e+01dBm
,,
